ZONE,ZONE_NAME,category,area_designated_ha,zone_area_ha,percent_designated
BAFA,Boreal Altai Fescue Alpine,01_PPA,1842387.92,6286780.63,29.31
BAFA,Boreal Altai Fescue Alpine,02_Protected_Other,59670.33,6286780.63,0.95
BAFA,Boreal Altai Fescue Alpine,03_Exclude_1_2_Activities,984596.43,6286780.63,15.66
BAFA,Boreal Altai Fescue Alpine,04_Managed,1112245.83,6286780.63,17.69
BG,Bunchgrass,01_PPA,28584.42,257073.28,11.12
BG,Bunchgrass,02_Protected_Other,4166.17,257073.28,1.62
BG,Bunchgrass,03_Exclude_1_2_Activities,11379.79,257073.28,4.43
BG,Bunchgrass,04_Managed,101604.78,257073.28,39.52
BWBS,Boreal White and Black Spruce,01_PPA,1423616.4,16406154.43,8.68
BWBS,Boreal White and Black Spruce,02_Protected_Other,16816.59,16406154.43,0.1
BWBS,Boreal White and Black Spruce,03_Exclude_1_2_Activities,1747470.71,16406154.43,10.65
BWBS,Boreal White and Black Spruce,04_Managed,3737640.45,16406154.43,22.78
CDF,Coastal Douglas-fir,01_PPA,10894.78,251232.23,4.34
CDF,Coastal Douglas-fir,02_Protected_Other,4883.7,251232.23,1.94
CDF,Coastal Douglas-fir,03_Exclude_1_2_Activities,3162.61,251232.23,1.26
CDF,Coastal Douglas-fir,04_Managed,23755.19,251232.23,9.46
CMA,Coastal Mountain-heather Alpine,01_PPA,646857.09,3574039.73,18.1
CMA,Coastal Mountain-heather Alpine,02_Protected_Other,50.75,3574039.73,0
CMA,Coastal Mountain-heather Alpine,03_Exclude_1_2_Activities,315180.76,3574039.73,8.82
CMA,Coastal Mountain-heather Alpine,04_Managed,1003601.15,3574039.73,28.08
CWH,Coastal Western Hemlock,01_PPA,2104249.97,10798244.01,19.49
CWH,Coastal Western Hemlock,02_Protected_Other,12325.37,10798244.01,0.11
CWH,Coastal Western Hemlock,03_Exclude_1_2_Activities,907198.26,10798244.01,8.4
CWH,Coastal Western Hemlock,04_Managed,3798780.12,10798244.01,35.18
ESSF,Engelmann Spruce -- Subalpine Fir,01_PPA,3035976.82,17465850.02,17.38
ESSF,Engelmann Spruce -- Subalpine Fir,02_Protected_Other,77336.62,17465850.02,0.44
ESSF,Engelmann Spruce -- Subalpine Fir,03_Exclude_1_2_Activities,3910338.34,17465850.02,22.39
ESSF,Engelmann Spruce -- Subalpine Fir,04_Managed,3167890.73,17465850.02,18.14
ICH,Interior Cedar -- Hemlock,01_PPA,564098.23,5544923.49,10.17
ICH,Interior Cedar -- Hemlock,02_Protected_Other,46203.26,5544923.49,0.83
ICH,Interior Cedar -- Hemlock,03_Exclude_1_2_Activities,533466.38,5544923.49,9.62
ICH,Interior Cedar -- Hemlock,04_Managed,1831670.03,5544923.49,33.03
IDF,Interior Douglas-fir,01_PPA,236932.21,4385855.59,5.4
IDF,Interior Douglas-fir,02_Protected_Other,38579.48,4385855.59,0.88
IDF,Interior Douglas-fir,03_Exclude_1_2_Activities,410720.58,4385855.59,9.36
IDF,Interior Douglas-fir,04_Managed,1868812.19,4385855.59,42.61
IMA,Interior Mountain-heather Alpine,01_PPA,369615.4,1259361.92,29.35
IMA,Interior Mountain-heather Alpine,02_Protected_Other,97.84,1259361.92,0.01
IMA,Interior Mountain-heather Alpine,03_Exclude_1_2_Activities,157877.08,1259361.92,12.54
IMA,Interior Mountain-heather Alpine,04_Managed,132642.6,1259361.92,10.53
MH,Mountain Hemlock,01_PPA,816571.76,4059301.46,20.12
MH,Mountain Hemlock,02_Protected_Other,243.65,4059301.46,0.01
MH,Mountain Hemlock,03_Exclude_1_2_Activities,406037.25,4059301.46,10
MH,Mountain Hemlock,04_Managed,972912.99,4059301.46,23.97
MS,Montane Spruce,01_PPA,259845.84,2864905.57,9.07
MS,Montane Spruce,02_Protected_Other,11811.61,2864905.57,0.41
MS,Montane Spruce,03_Exclude_1_2_Activities,323934.3,2864905.57,11.31
MS,Montane Spruce,04_Managed,1035642.63,2864905.57,36.15
PP,Ponderosa Pine,01_PPA,17927.45,390278.82,4.59
PP,Ponderosa Pine,02_Protected_Other,10588.84,390278.82,2.71
PP,Ponderosa Pine,03_Exclude_1_2_Activities,13828.69,390278.82,3.54
PP,Ponderosa Pine,04_Managed,238857.22,390278.82,61.2
SBPS,Sub-Boreal Pine -- Spruce,01_PPA,218694.59,2265365.77,9.65
SBPS,Sub-Boreal Pine -- Spruce,02_Protected_Other,2114.45,2265365.77,0.09
SBPS,Sub-Boreal Pine -- Spruce,03_Exclude_1_2_Activities,186921.47,2265365.77,8.25
SBPS,Sub-Boreal Pine -- Spruce,04_Managed,209809.27,2265365.77,9.26
SBS,Sub-Boreal Spruce,01_PPA,695753.55,10337497.44,6.73
SBS,Sub-Boreal Spruce,02_Protected_Other,1935.56,10337497.44,0.02
SBS,Sub-Boreal Spruce,03_Exclude_1_2_Activities,1148540.31,10337497.44,11.11
SBS,Sub-Boreal Spruce,04_Managed,1539630.51,10337497.44,14.89
SWB,Spruce -- Willow -- Birch,01_PPA,1972239.5,8655856.85,22.79
SWB,Spruce -- Willow -- Birch,02_Protected_Other,50647.25,8655856.85,0.59
SWB,Spruce -- Willow -- Birch,03_Exclude_1_2_Activities,648004.73,8655856.85,7.49
SWB,Spruce -- Willow -- Birch,04_Managed,2402774.63,8655856.85,27.76
