bgc_label,MAP_LABEL,ZONE,ZONE_NAME,SUBZONE,SUBZONE_NAME,VARIANT,VARIANT_NAME,bec_area,category,area_des,percent_des,area_des_ha
BWBSmk,BWBSmk,BWBS,Boreal White and Black Spruce,mk,Moist Cool,NA,NA,96474555808.72145,04_Managed,22443760359.0176,23.263916761136965,2244376.035901759
BWBSmw,BWBSmw,BWBS,Boreal White and Black Spruce,mw,Moist Warm,NA,NA,29006489750.729553,01_PPA,217642915.522454,0.7503249010576333,21764.29155224541
BWBSmw,BWBSmw,BWBS,Boreal White and Black Spruce,mw,Moist Warm,NA,NA,29006489750.729553,02_Protected_Other,45070030.0406331,0.1553791252507537,4507.003004063311
BWBSmw,BWBSmw,BWBS,Boreal White and Black Spruce,mw,Moist Warm,NA,NA,29006489750.729553,03_Exclude_1_2_Activities,2444877556.97179,8.428726047109167,244487.75569717932
BWBSmw,BWBSmw,BWBS,Boreal White and Black Spruce,mw,Moist Warm,NA,NA,29006489750.729553,04_Managed,4291626688.69929,14.795401737955377,429162.66886992886
BWBSvk,BWBSvk,BWBS,Boreal White and Black Spruce,vk,Very Wet Cool,NA, ,774607522.9358218,01_PPA,774459138.061121,99.98084386346538,77445.91380611208
BWBSvk,BWBSvk,BWBS,Boreal White and Black Spruce,vk,Very Wet Cool,NA, ,774607522.9358218,02_Protected_Other,0,0,0
BWBSvk,BWBSvk,BWBS,Boreal White and Black Spruce,vk,Very Wet Cool,NA, ,774607522.9358218,03_Exclude_1_2_Activities,0,0,0
BWBSvk,BWBSvk,BWBS,Boreal White and Black Spruce,vk,Very Wet Cool,NA, ,774607522.9358218,04_Managed,0,0,0
BWBSwk 1,BWBSwk1,BWBS,Boreal White and Black Spruce,wk,Wet Cool,1,Murray,3293933468.9639864,01_PPA,252778087.162266,7.674049568516951,25277.808716226627
BWBSwk 1,BWBSwk1,BWBS,Boreal White and Black Spruce,wk,Wet Cool,1,Murray,3293933468.9639864,02_Protected_Other,0,0,0
BWBSwk 1,BWBSwk1,BWBS,Boreal White and Black Spruce,wk,Wet Cool,1,Murray,3293933468.9639864,03_Exclude_1_2_Activities,640152427.345621,19.43428528163207,64015.24273456208
BWBSwk 1,BWBSwk1,BWBS,Boreal White and Black Spruce,wk,Wet Cool,1,Murray,3293933468.9639864,04_Managed,1155698976.47994,35.08568061161947,115569.8976479942
BWBSwk 2,BWBSwk2,BWBS,Boreal White and Black Spruce,wk,Wet Cool,2,Graham,3532732374.407937,01_PPA,43211406.6581786,1.2231723798613694,4321.140665817863
BWBSwk 2,BWBSwk2,BWBS,Boreal White and Black Spruce,wk,Wet Cool,2,Graham,3532732374.407937,02_Protected_Other,312921.834317833,0.008857784885849918,31.29218343178332
BWBSwk 2,BWBSwk2,BWBS,Boreal White and Black Spruce,wk,Wet Cool,2,Graham,3532732374.407937,03_Exclude_1_2_Activities,74790580.6767626,2.117074625255104,7479.0580676762565
BWBSwk 2,BWBSwk2,BWBS,Boreal White and Black Spruce,wk,Wet Cool,2,Graham,3532732374.407937,04_Managed,478276245.221515,13.538422799481681,47827.62452215147
