ecoregion_code,ecoregion_name,category,area_des,ecoreg_area,percent_des,area_des_ha
BMP,Boreal Mountains and Plateaus,01_PPA,23095127852.2977,91691665125.2357,25.18781594897813,2309512.7852297733
BMP,Boreal Mountains and Plateaus,02_Protected_Other,1225958699.20636,91691665125.2357,1.3370448639272792,122595.8699206364
BMP,Boreal Mountains and Plateaus,03_Exclude_1_2_Activities,8770071748.27442,91691665125.2357,9.564742592792863,877007.1748274418
BMP,Boreal Mountains and Plateaus,04_Managed,25346645537.2427,91691665125.2357,27.64334741071974,2534664.5537242657
BOU,Boundary Ranges,01_PPA,1307662820.80787,21333151219.4863,6.129721799437766,130766.28208078723
BOU,Boundary Ranges,02_Protected_Other,0,21333151219.4863,0,0
BOU,Boundary Ranges,03_Exclude_1_2_Activities,1104729069.96901,21333151219.4863,5.178461721866588,110472.90699690109
BOU,Boundary Ranges,04_Managed,4305112394.00808,21333151219.4863,20.18038661853051,430511.2394008082
CAU,Central Alberta Upland,01_PPA,83660093.6741882,22335225181.4173,0.37456570504510717,8366.00936741882
CAU,Central Alberta Upland,02_Protected_Other,4547737.2705308,22335225181.4173,0.02036127790784247,454.77372705307977
CAU,Central Alberta Upland,03_Exclude_1_2_Activities,2132877844.23153,22335225181.4173,9.549390377340194,213287.78442315315
CAU,Central Alberta Upland,04_Managed,3707501545.19464,22335225181.4173,16.599347063128057,370750.15451946383
CHR,Chilcotin Ranges,01_PPA,6468712608.81082,15784395583.5679,40.98169343617431,646871.2608810822
CHR,Chilcotin Ranges,02_Protected_Other,7067713.48095723,15784395583.5679,0.04477658611340796,706.7713480957229
CHR,Chilcotin Ranges,03_Exclude_1_2_Activities,769144118.114842,15784395583.5679,4.8728132416774255,76914.41181148418
CHR,Chilcotin Ranges,04_Managed,1763000620.43691,15784395583.5679,11.169262776664404,176300.06204369062
CMI,Chugach Mountains and Icefields,01_PPA,3528639347.10092,3528640603.52167,99.9999643936324,352863.93471009226
CMI,Chugach Mountains and Icefields,02_Protected_Other,0,3528640603.52167,0,0
CMI,Chugach Mountains and Icefields,03_Exclude_1_2_Activities,0,3528640603.52167,0,0
CMI,Chugach Mountains and Icefields,04_Managed,0,3528640603.52167,0,0
COG,Coastal Gap,01_PPA,16712860890.9626,45208636409.1676,36.968292384889395,1671286.0890962633
COG,Coastal Gap,02_Protected_Other,4778963.33954951,45208636409.1676,0.010570907948421152,477.8963339549514
COG,Coastal Gap,03_Exclude_1_2_Activities,3795826185.91295,45208636409.1676,8.396241265846312,379582.6185912948
COG,Coastal Gap,04_Managed,18022663390.0324,45208636409.1676,39.86553194596621,1802266.3390032412
COH,Columbia Highlands,01_PPA,3215897768.18705,29571822615.2783,10.87487169805204,321589.7768187055
COH,Columbia Highlands,02_Protected_Other,398967.553566806,29571822615.2783,0.0013491476624801573,39.8967553566806
COH,Columbia Highlands,03_Exclude_1_2_Activities,6045500141.76706,29571822615.2783,20.443447874070657,604550.0141767062
COH,Columbia Highlands,04_Managed,9674297617.69318,29571822615.2783,32.71458017164943,967429.7617693185
CRM,Central Canadian Rocky Mountains,01_PPA,3704717798.47799,37259799737.6124,9.942935347390543,370471.77984779875
CRM,Central Canadian Rocky Mountains,02_Protected_Other,7772794.94035921,37259799737.6124,0.020861075462284003,777.279494035921
CRM,Central Canadian Rocky Mountains,03_Exclude_1_2_Activities,13906004612.7805,37259799737.6124,37.32173739716293,1390600.4612780483
CRM,Central Canadian Rocky Mountains,04_Managed,7386240081.51637,37259799737.6124,19.82361723232838,738624.0081516367
ECR,Eastern Continental Ranges,01_PPA,798300453.568399,2122384567.07641,37.61337440688521,79830.04535683991
ECR,Eastern Continental Ranges,02_Protected_Other,0,2122384567.07641,0,0
ECR,Eastern Continental Ranges,03_Exclude_1_2_Activities,916285955.562522,2122384567.07641,43.1724754211113,91628.59555625217
ECR,Eastern Continental Ranges,04_Managed,189179680.427939,2122384567.07641,8.913543914830411,18917.968042793895
EHM,Eastern Hazelton Mountains,01_PPA,5993164712.05087,13534519993.9482,44.28058560429671,599316.4712050871
EHM,Eastern Hazelton Mountains,02_Protected_Other,0,13534519993.9482,0,0
EHM,Eastern Hazelton Mountains,03_Exclude_1_2_Activities,2286822394.43568,13534519993.9482,16.89622088894333,228682.23944356813
EHM,Eastern Hazelton Mountains,04_Managed,1534508793.91921,13534519993.9482,11.337740788778293,153450.87939192142
EVI,Eastern Vancouver Island,01_PPA,1552754626.93265,12297591289.0749,12.626494005473285,155275.46269326514
EVI,Eastern Vancouver Island,02_Protected_Other,27809994.5356595,12297591289.0749,0.22614180193454322,2780.9994535659475
EVI,Eastern Vancouver Island,03_Exclude_1_2_Activities,323466842.903664,12297591289.0749,2.6303268282385437,32346.68429036641
EVI,Eastern Vancouver Island,04_Managed,2986010325.0327,12297591289.0749,24.281261710864005,298601.0325032699
FAB,Fraser Basin,01_PPA,1527919438.5168,43016741467.6705,3.551918128585159,152791.9438516798
FAB,Fraser Basin,02_Protected_Other,3429425.38535867,43016741467.6705,0.00797230396434392,342.9425385358671
FAB,Fraser Basin,03_Exclude_1_2_Activities,7254998419.24251,43016741467.6705,16.86552298410388,725499.8419242512
FAB,Fraser Basin,04_Managed,2680501892.79591,43016741467.6705,6.231299260104247,268050.18927959085
FAP,Fraser Plateau,01_PPA,5146802264.13787,82037664039.9748,6.2737065034299,514680.2264137874
FAP,Fraser Plateau,02_Protected_Other,64445332.7153429,82037664039.9748,0.07855578711253944,6444.533271534294
FAP,Fraser Plateau,03_Exclude_1_2_Activities,8789482978.25621,82037664039.9748,10.713960570565883,878948.2978256209
FAP,Fraser Plateau,04_Managed,15587768604.487,82037664039.9748,19.000746531363276,1558776.8604486976
GPB,Georgia-Puget Basin,01_PPA,131768162.112709,1774553293.40375,7.425427154118679,13176.816211270925
GPB,Georgia-Puget Basin,02_Protected_Other,24745236.349943,1774553293.40375,1.394448757437961,2474.5236349942984
GPB,Georgia-Puget Basin,03_Exclude_1_2_Activities,20424770.5778425,1774553293.40375,1.150980962575993,2042.4770577842453
GPB,Georgia-Puget Basin,04_Managed,119037377.490123,1774553293.40375,6.708019304497694,11903.737749012305
GWH,Gwaii Haanas,01_PPA,4547249562.13122,9962524643.19766,45.64354644016914,454724.956213122
GWH,Gwaii Haanas,02_Protected_Other,1098274.79459714,9962524643.19766,0.01102406100793976,109.82747945971434
GWH,Gwaii Haanas,03_Exclude_1_2_Activities,369782625.800849,9962524643.19766,3.7117361215596514,36978.26258008495
GWH,Gwaii Haanas,04_Managed,5044394180.47099,9962524643.19766,50.633693377263256,504439.4180470995
HCS,Hecate Continental Shelf,01_PPA,149605255.03458,479206007.741386,31.219403057926026,14960.525503457964
HCS,Hecate Continental Shelf,02_Protected_Other,415576.790704349,479206007.741386,0.08672194922243623,41.5576790704349
HCS,Hecate Continental Shelf,03_Exclude_1_2_Activities,45784434.5486017,479206007.741386,9.554227995678682,4578.443454860169
HCS,Hecate Continental Shelf,04_Managed,118919811.451256,479206007.741386,24.816010135547785,11891.98114512564
HHI,Hyland Highland,01_PPA,377927026.167482,5035724476.78054,7.504918664833298,37792.70261674819
HHI,Hyland Highland,02_Protected_Other,0,5035724476.78054,0,0
HHI,Hyland Highland,03_Exclude_1_2_Activities,0,5035724476.78054,0,0
HHI,Hyland Highland,04_Managed,15937053.9498013,5035724476.78054,0.31647986348908014,1593.7053949801257
HSL,Hay-Slave Lowland,01_PPA,112172643.85655,24446107246.9616,0.45885687534358516,11217.264385654962
HSL,Hay-Slave Lowland,02_Protected_Other,0,24446107246.9616,0,0
HSL,Hay-Slave Lowland,03_Exclude_1_2_Activities,5287349815.92872,24446107246.9616,21.62859617081115,528734.981592872
HSL,Hay-Slave Lowland,04_Managed,3242961328.43573,24446107246.9616,13.265757593527711,324296.13284357334
IPS,Inner Pacific Shelf,01_PPA,102653262.443175,465095783.282448,22.07142402338977,10265.326244317506
IPS,Inner Pacific Shelf,02_Protected_Other,286683.382282945,465095783.282448,0.06163964339982946,28.668338228294463
IPS,Inner Pacific Shelf,03_Exclude_1_2_Activities,31658687.8354996,465095783.282448,6.80691783788406,3165.8687835499554
IPS,Inner Pacific Shelf,04_Managed,303059067.37276,465095783.282448,65.16057084712706,30305.906737276015
ITR,Interior Transition Ranges,01_PPA,2235631326.62897,14025815707.7007,15.939403263380411,223563.13266289688
ITR,Interior Transition Ranges,02_Protected_Other,1212177.23523909,14025815707.7007,0.008642472284685433,121.21772352390896
ITR,Interior Transition Ranges,03_Exclude_1_2_Activities,1491564117.3575,14025815707.7007,10.634419761686813,149156.41173574972
ITR,Interior Transition Ranges,04_Managed,3550284185.55043,14025815707.7007,25.312497037881315,355028.4185550434
LIB,Liard Basin,01_PPA,603082347.164142,12614477441.8571,4.7808745938457,60308.23471641425
LIB,Liard Basin,02_Protected_Other,0,12614477441.8571,0,0
LIB,Liard Basin,03_Exclude_1_2_Activities,15319501.8680458,12614477441.8571,0.12144380881932461,1531.9501868045757
LIB,Liard Basin,04_Managed,4889630103.62169,12614477441.8571,38.76205039930571,488963.0103621695
LOM,Lower Mainland,01_PPA,152240936.746206,4264277980.78543,3.5701456948208774,15224.093674620552
LOM,Lower Mainland,02_Protected_Other,65453230.9233225,4264277980.78543,1.5349194217227562,6545.323092332248
LOM,Lower Mainland,03_Exclude_1_2_Activities,113309274.710487,4264277980.78543,2.6571737401044673,11330.927471048735
LOM,Lower Mainland,04_Managed,350999855.309995,4264277980.78543,8.231167313472037,35099.98553099953
MPL,Muskwa Plateau,01_PPA,857050034.89924,25296806309.0923,3.387977219049956,85705.00348992398
MPL,Muskwa Plateau,02_Protected_Other,0,25296806309.0923,0,0
MPL,Muskwa Plateau,03_Exclude_1_2_Activities,471039679.299602,25296806309.0923,1.8620519663397137,47103.96792996022
MPL,Muskwa Plateau,04_Managed,4052301132.23935,25296806309.0923,16.019022649443503,405230.1132239351
NCD,Northern Continental Divide,01_PPA,336927019.112936,5913860791.64431,5.697242985309691,33692.70191129356
NCD,Northern Continental Divide,02_Protected_Other,98293790.877592,5913860791.64431,1.6620917255352252,9829.379087759204
NCD,Northern Continental Divide,03_Exclude_1_2_Activities,1468392713.96386,5913860791.64431,24.82968006346288,146839.2713963855
